"","AY111","AY115","AY125","AY134","AY138","AY152","AY159","AY186","AY188","AY191","AY207","AY211","AY218","AY224","AY226","AY228","AY236","AY24","AY241","AY244","AY245","AY254","AY263","AY284","AY29","AY300","AY309","AY331","AY339","AY353","AY365","AY37","AY381","AY386","AY389","AY409","AY410","AY416","AY418","AY432","AY438","AY439","AY456","AY458","AY459","AY46","AY460","AY465","AY466","AY472","AY489","AY490","AY492","AY493","AY495","AY528","AY533","AY536","AY537","AY538","AY545","AY553","AY562","AY566","AY568","AY571","AY572","AY586","AY595"
"A-rep2",NA,20.85,14.15,12.57,9.33,10.9,9.09,13.07,NA,8.24,11.06,9.15,7.33,5.11,NA,11.43,8.17,NA,6.37,NA,7.61,NA,6.89,14.2,NA,6.17,NA,7.71,NA,8.04,8.42,NA,5.85,NA,6.14,NA,NA,NA,13.08,NA,9.18,NA,3.02,10.77,NA,4.31,NA,NA,NA,NA,7.85,6.87,8.19,8.01,11.88,6.9,7.88,8.42,11.62,NA,NA,4.63,NA,10.01,7.63,5.29,5.67,7.78,4.75
"A-rep3",NA,17.83,NA,12.55,10.03,12.11,9.6,16.95,13.02,7.68,11.08,9.57,7.76,5.5,NA,11.55,8.23,NA,6.28,NA,7.23,9.52,7.17,13.61,NA,6.22,NA,7.6,NA,8.62,8.19,NA,6.23,NA,NA,NA,NA,NA,11.36,NA,9.42,NA,3.25,11.23,NA,NA,20.05,4.92,NA,NA,8.07,7.35,8.33,NA,12.15,5.84,7.98,8.56,15.92,NA,NA,4.76,NA,10.32,8.48,4.94,6.09,8.18,5.11
"B-rep1",NA,NA,15.38,NA,5.86,12.56,8.62,15.69,12.54,8.08,11.05,11.65,7.79,5.53,9.93,11.58,NA,8.51,7.03,NA,7.29,8.3,7.4,17.17,NA,6.32,NA,8.51,NA,9.28,8,NA,6.7,NA,NA,NA,6.87,8.98,11.71,6.38,10.13,NA,3.59,10.79,9.89,NA,20.27,4.91,8.85,10.77,8.4,7.18,8.77,8.21,NA,6.59,8.2,8.34,17.09,NA,NA,4.78,NA,NA,8.01,5.47,5.46,8.43,5.41
"B-rep3",NA,NA,15.22,11.91,8.99,10.75,8.6,15.06,NA,8.02,10.9,8.81,7.49,5.01,8.99,11.47,NA,8.47,6.53,NA,7.14,9.51,7.18,NA,NA,6.31,NA,8.25,9.35,8.22,8.14,NA,5.89,NA,NA,NA,6.66,8.58,10.41,NA,8.61,NA,2.84,10.86,9,NA,NA,4.21,8.29,10.34,8.04,6.83,7.7,8.02,10.44,4.95,7.63,7.75,11.49,NA,13.25,4.49,NA,9.91,7.57,4.54,5.68,7.81,4.41
"C-rep1",NA,NA,15.52,11.63,9.44,10.61,8.78,14.2,13.2,9.16,10.47,9.48,NA,4.89,9.09,11.32,9.23,NA,6.83,NA,7.94,9.28,7.57,15.87,NA,5.32,5.83,NA,NA,8.49,NA,NA,5.55,NA,NA,NA,6.49,NA,16.05,7.2,9,15.02,2.47,11.36,NA,NA,NA,4.87,8.26,NA,NA,6.78,8.06,7.9,10.24,5.34,8.53,8.76,11.72,NA,NA,9.92,NA,10.34,12.02,4.75,5.65,7.78,4.19
"C-rep2",NA,NA,NA,12.79,NA,12.1,8.29,14.44,15.65,8.65,10.31,9.96,8.95,4.86,8.72,10.47,9.55,NA,6.69,NA,7.58,7.87,7.38,16.96,NA,5.2,NA,NA,NA,9.15,NA,NA,5.98,NA,NA,5.9,6.73,NA,15.34,6.39,9.91,14.56,2.87,10.5,NA,4.53,16.37,4.75,8.43,NA,NA,6.71,9.08,7.48,11.54,6.19,8.57,8.7,10.55,NA,NA,10.7,NA,11.09,12.29,5.33,5.02,8.21,4.89
"D-rep1",NA,15.86,15.98,11.74,9.15,10.08,8.84,12.54,14.58,8.07,11.04,9.74,8.1,4.8,8.71,11.06,8.64,NA,6.66,NA,NA,9.4,7.15,16.32,NA,5.69,6.24,8.27,NA,8.3,8.34,NA,5.77,NA,NA,NA,NA,NA,14.72,6.86,8.6,NA,2.59,10.84,NA,NA,17.85,4.53,8.83,NA,8.19,6.76,8.32,8.16,12.24,4.78,8.01,8.76,12.11,NA,NA,6.17,NA,10.49,8.36,4.34,5.35,8.14,4.02
"D-rep2",NA,20.82,NA,13.26,9.32,11.4,9.44,14.9,15.84,7.86,11.53,10.1,NA,5.49,9.06,11.93,8.74,NA,7.25,NA,7.71,9.14,7.18,15.93,NA,5.72,6.33,8.81,NA,9.05,8.74,NA,6.17,19.18,NA,NA,NA,NA,12.46,7.57,9.19,17.06,3.16,11.18,NA,NA,21.27,5.1,8.21,10.46,8.5,7.18,7.87,8.6,12.01,5.92,7.98,8.19,12.06,NA,NA,6.12,NA,10.88,7.73,5.17,6.18,8.62,5.09
"D-rep3",NA,17.07,16.42,12.67,NA,NA,8.79,NA,15.15,8.05,11.01,10.07,8.45,5.36,NA,11.01,8.49,NA,6.92,NA,7.64,8.43,7.2,NA,NA,5.84,6.24,8.61,NA,9.39,NA,NA,6.45,20.27,NA,NA,NA,NA,16.86,6.17,10.25,14.43,3.36,10.99,NA,NA,16.3,4.96,9.12,10.14,8.51,6.84,8.58,8.05,13.7,6.24,8.39,8.63,11.66,NA,NA,6.15,NA,11.35,8.02,5.46,5.19,8.8,4.92
"E-rep2",NA,19.13,NA,9.19,9.94,10.6,8.6,NA,12.94,9.63,11.72,NA,9.1,4.9,8.96,10.97,NA,9.73,6.62,NA,7.82,9.43,7.3,15.35,15.21,5.72,NA,NA,NA,8.02,NA,NA,5.64,NA,6.05,5.64,6.66,8.88,15.29,NA,8.37,16.66,2.77,10.95,NA,4.43,NA,4.65,9,NA,9.79,6.83,8.99,7.81,NA,4.81,8.11,8.08,12.05,NA,NA,7.19,NA,10.43,10.51,4.55,5.63,8.05,4.67
