"Sample
number",Sample Number,Month,Day,DNA quality,DNA concentration,Volume,CollectionDate,"Country
"
1A,B4,22-Sep,1,1.91,10,100,13/09/2022,Great Britain
2A,B10,22-Sep,29,1.9,10,100,12/10/2022,Great Britain
3A,B16,22-Oct,1,1.9,10,100,12/10/2022,Great Britain
4A,B22,22-Oct,29,1.9,10,100,11/11/2022,Great Britain
5A,B28,22-Nov,1,1.91,10,100,11/11/2022,Great Britain
6A,B34,22-Nov,29,1.9,10,100,13/12/2022,Great Britain
7A,B40,22-Dec,1,1.91,10,100,13/12/2022,Great Britain
8A,B46,22-Dec,29,1.86,10,100,10/01/2023,Great Britain
9A,B52,23-Jan,1,1.87,10,100,10/01/2023,Great Britain
10A,B58,23-Jan,29,1.91,10,100,10/02/2023,Great Britain
11A,B64,23-Feb,1,1.86,10,100,10/02/2023,Great Britain
12A,B70,23-Feb,29,1.86,10,100,14/03/2023,Great Britain
13A,B76,23-Mar,1,1.83,10,100,14/03/2023,Great Britain
14A,B82,23-Mar,29,1.87,10,100,11/04/2023,Great Britain
15A,B88,23-Apr,1,1.89,10,100,11/04/2023,Great Britain
16A,B94,23-Apr,29,1.87,10,100,17/05/2023,Great Britain
17A,B100,23-May,1,1.89,10,100,17/05/2023,Great Britain
18A,B106,23-May,29,1.88,10,100,13/06/2023,Great Britain
19A,B112,23-Jun,1,1.88,10,100,13/06/2023,Great Britain
20A,B118,23-Jun,29,1.87,10,100,11/07/2023,Great Britain
21A,B124,23-Jul,1,1.89,10,100,11/07/2023,Great Britain
22A,B130,23-Jul,29,1.89,10,100,15/08/2023,Great Britain
23A,B136,23-Aug,1,1.9,10,100,15/08/2023,Great Britain
24A,B142,23-Aug,29,1.88,10,100,12/09/2023,Great Britain
