Row,Column,Assay,Sample,Conc,Ct,Tm,Efficiency,Flags
0,0,AY1,1A-rep1,-1,,,,CurveFitFailed
9,18,AY1,1A-rep2,-1,13.8,81.64,1.92,
18,36,AY1,1A-rep3,-1,13.8,81.47,1.87,
27,54,AY1,2A-rep1,-1,13.4,81.43,1.89,
1,0,AY1,2A-rep2,-1,14.34,82.24,1.98,MultipleMeltPeaks
10,18,AY1,2A-rep3,-1,13.65,81.65,1.92,
19,36,AY1,3A-rep1,-1,13.83,81.47,1.92,
28,54,AY1,3A-rep2,-1,13.85,81.42,2.07,
2,0,AY1,3A-rep3,-1,14.11,82.16,1.89,MultipleMeltPeaks
11,18,AY1,4A-rep1,-1,13.55,81.63,1.95,
20,36,AY1,4A-rep2,-1,13.49,81.48,1.9,
29,54,AY1,4A-rep3,-1,13.44,81.46,1.92,
3,0,AY1,5A-rep1,-1,13.98,81.71,1.88,MultipleMeltPeaks
12,18,AY1,5A-rep2,-1,13.9,81.63,1.91,
21,36,AY1,5A-rep3,-1,13.79,81.46,1.88,
30,54,AY1,6A-rep1,-1,12.84,81.46,1.85,
36,0,AY1,6A-rep2,-1,,,,"BadR2, CurveFitFailed"
45,18,AY1,6A-rep3,-1,12.92,81.48,1.9,
54,36,AY1,7A-rep1,-1,13.76,81.5,1.9,
63,54,AY1,7A-rep2,-1,13.79,81.52,1.89,
37,0,AY1,7A-rep3,-1,13.83,85.24,1.9,
46,18,AY1,8A-rep1,-1,13.33,81.5,1.89,
55,36,AY1,8A-rep2,-1,13.54,81.48,1.88,
64,54,AY1,8A-rep3,-1,13.43,81.52,1.88,
38,0,AY1,9A-rep1,-1,13.53,81.84,1.82,
47,18,AY1,9A-rep2,-1,13.52,81.56,1.88,
56,36,AY1,9A-rep3,-1,13.69,81.47,1.89,
65,54,AY1,10A-rep1,-1,13.27,81.56,1.88,
39,0,AY1,10A-rep2,-1,13.28,81.71,1.85,MultipleMeltPeaks
48,18,AY1,10A-rep3,-1,13.12,81.56,1.86,
57,36,AY1,11A-rep1,-1,13.92,81.52,1.87,
66,54,AY1,11A-rep2,-1,13.84,81.55,1.87,
4,0,AY1,11A-rep3,-1,14.04,82.92,1.84,MultipleMeltPeaks
13,18,AY1,12A-rep1,-1,13.64,81.53,1.88,MultipleMeltPeaks
22,36,AY1,12A-rep2,-1,13.65,81.44,1.85,
31,54,AY1,12A-rep3,-1,13.65,81.45,1.88,
5,0,AY1,13A-rep1,-1,14.68,82.16,1.54,"LowEfficiency, MultipleMeltPeaks"
14,18,AY1,13A-rep2,-1,13.77,81.61,1.87,
23,36,AY1,13A-rep3,-1,13.6,81.47,1.87,
32,54,AY1,14A-rep1,-1,13.48,81.46,1.86,
6,0,AY1,14A-rep2,-1,13.94,82.22,1.91,MultipleMeltPeaks
15,18,AY1,14A-rep3,-1,13.67,81.61,1.8,
24,36,AY1,15A-rep1,-1,12.83,81.47,1.81,
33,54,AY1,15A-rep2,-1,12.96,81.33,1.83,MultipleMeltPeaks
7,0,AY1,15A-rep3,-1,13.62,87.1,1.84,MultipleMeltPeaks
16,18,AY1,16A-rep1,-1,13.73,81.6,1.82,
25,36,AY1,16A-rep2,-1,13.99,81.51,1.82,
34,54,AY1,16A-rep3,-1,13.71,81.43,1.84,
40,0,AY1,17A-rep1,-1,12.15,81.71,1.82,MultipleMeltPeaks
49,18,AY1,17A-rep2,-1,12.66,81.51,1.9,
58,36,AY1,17A-rep3,-1,12.75,81.52,1.87,
67,54,AY1,18A-rep1,-1,13.39,81.52,1.9,
41,0,AY1,18A-rep2,-1,13.34,81.75,1.86,MultipleMeltPeaks
50,18,AY1,18A-rep3,-1,13.36,81.51,1.82,
59,36,AY1,19A-rep1,-1,12.74,87.45,1.85,
68,54,AY1,19A-rep2,-1,12.79,81.57,1.91,
42,0,AY1,19A-rep3,-1,12.81,81.83,1.85,
51,18,AY1,20A-rep1,-1,12.73,87.1,1.86,
60,36,AY1,20A-rep2,-1,12.9,81.55,1.86,
69,54,AY1,20A-rep3,-1,12.87,86.76,1.93,
43,0,AY1,21A-rep1,-1,13.08,81.77,1.86,
52,18,AY1,21A-rep2,-1,12.94,81.52,1.86,
61,36,AY1,21A-rep3,-1,13.04,81.51,1.88,
70,54,AY1,22A-rep1,-1,12.47,81.57,1.83,
8,0,AY1,22A-rep2,-1,12.94,81.99,1.92,MultipleMeltPeaks
17,18,AY1,22A-rep3,-1,12.7,81.59,1.88,
26,36,AY1,23A-rep1,-1,13.35,81.45,1.85,
35,54,AY1,23A-rep2,-1,13.22,87.08,1.87,
44,0,AY1,23A-rep3,-1,13.52,81.76,1.86,
53,18,AY1,24A-rep1,-1,13.01,81.55,1.84,
62,36,AY1,24A-rep2,-1,13.18,86.08,1.83,
71,54,AY1,24A-rep3,-1,13.17,81.58,1.89,
0,36,AY24,1A-rep1,-1,21.94,84.16,1.83,
9,54,AY24,1A-rep2,-1,22.36,92.14,1.83,MultipleMeltPeaks
18,0,AY24,1A-rep3,-1,22.09,84.46,1.87,MultipleMeltPeaks
27,18,AY24,2A-rep1,-1,21.91,84.11,1.9,
1,36,AY24,2A-rep2,-1,21.88,84.07,1.84,
10,54,AY24,2A-rep3,-1,22.12,84.13,1.84,
