"name.x","day","month","mean","std","n","se","name.y","class"
"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","1","2022-10",355017.012109456,138059.79236251,4,69029.896181255,NA,"unknown"
"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","1","2022-11",927290.777648257,332344.954444947,4,166172.477222473,NA,"unknown"
"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","1","2022-12",871907.185025975,452496.052895961,6,184730.740036422,NA,"unknown"
"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","1","2023-02",689550.387046659,376303.264881738,6,153625.16458394,NA,"unknown"
"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","1","2023-04",237049.334913183,88230.9616132987,2,62388.7112673735,NA,"unknown"
"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","1","2023-05",1963848.16068286,1013349.34295069,4,506674.671475344,NA,"unknown"
"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","1","2023-06",1638595.73803517,887598.531908229,4,443799.265954115,NA,"unknown"
"3e 3 3 oxo 1 3 dihydro 2h indol 2 ylidene 1 3 dihydro 2h indol 2 one","29","2023-03",174927.233177405,55350.4854047695,2,39138.7035716795,NA,"unknown"
"2 5 6 diphenylfuro 2 3 d pyrimidin 4 yl amino ethan 1 ol","1","2023-02",270385.555531076,200611.60682513,2,141853.827570779,NA,"unknown"
"2 5 6 diphenylfuro 2 3 d pyrimidin 4 yl amino ethan 1 ol","1","2023-05",265108.356870997,108905.064400548,2,77007.509543185,NA,"unknown"
"2 5 6 diphenylfuro 2 3 d pyrimidin 4 yl amino ethan 1 ol","1","2023-06",364781.864090392,72307.676696719,2,51129.2485240945,NA,"unknown"
"2 5 6 diphenylfuro 2 3 d pyrimidin 4 yl amino ethan 1 ol","29","2023-07",200755.222227509,59370.9487645565,2,41981.600476897,NA,"unknown"
"3 4 methoxy 2 methylphenyl 2 5 dimethyl n 1 3 methyl 1 2 4 oxadiazol 5 yl propyl pyrazolo 1 5 a pyrimidin 7 amine","1","2023-05",1016002.64514712,307561.021245833,2,217478.483751589,NA,"unknown"
"3 4 methoxy 2 methylphenyl 2 5 dimethyl n 1 3 methyl 1 2 4 oxadiazol 5 yl propyl pyrazolo 1 5 a pyrimidin 7 amine","29","2023-04",1542743.72408987,394891.808557121,2,279230.67566576,NA,"unknown"
"4 methoxy 4 oxobutan 2 yl 3 3 hydroxybutanoyl oxy butanoate","29","2023-01",268701.697229423,164872.891140006,2,116582.73935893,NA,"unknown"
"5 hydroxy 4 2r 6 hydroxy 5 3e 4 methyl 6 2 6 6 trimethyl 1 cyclohexen 1 yl 3 hexen 1 yl 5 6 dihydro 2h pyran 2 yl 2 5h furanone","1","2023-02",591330.147540109,553801.556508227,2,391596.836038632,NA,"unknown"
"5 hydroxy 4 2r 6 hydroxy 5 3e 4 methyl 6 2 6 6 trimethyl 1 cyclohexen 1 yl 3 hexen 1 yl 5 6 dihydro 2h pyran 2 yl 2 5h furanone","1","2023-04",1320439.89530658,802096.73816588,2,567168.042724704,NA,"unknown"
"5 hydroxy 4 2r 6 hydroxy 5 3e 4 methyl 6 2 6 6 trimethyl 1 cyclohexen 1 yl 3 hexen 1 yl 5 6 dihydro 2h pyran 2 yl 2 5h furanone","29","2023-01",278235.43407254,3061.79802459757,2,2165.01814581652,NA,"unknown"
"5 hydroxy 4 2r 6 hydroxy 5 3e 4 methyl 6 2 6 6 trimethyl 1 cyclohexen 1 yl 3 hexen 1 yl 5 6 dihydro 2h pyran 2 yl 2 5h furanone","29","2023-03",1691895.11924967,1176436.23137941,4,588218.115689707,NA,"unknown"
"5 hydroxy 4 2r 6 hydroxy 5 3e 4 methyl 6 2 6 6 trimethyl 1 cyclohexen 1 yl 3 hexen 1 yl 5 6 dihydro 2h pyran 2 yl 2 5h furanone","29","2023-04",958370.191269566,615396.948012105,2,435151.355060864,NA,"unknown"
"5 hydroxy 4 2r 6 hydroxy 5 3e 4 methyl 6 2 6 6 trimethyl 1 cyclohexen 1 yl 3 hexen 1 yl 5 6 dihydro 2h pyran 2 yl 2 5h furanone","29","2023-07",829642.961087442,417416.801178266,2,295158.250694348,NA,"unknown"
"5 4 tert butylphenyl sulfanyl quinazoline 2 4 diamine","29","2023-01",334923.622243477,90788.5704643046,2,64197.2138295425,"sulf","sulfonamide"
