"peak_number","unique_id","compounds_id","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","ms2","reference_ion","sample","group_area","peak_rating","replicate","sample_location","day","month","mass_list_name","mass_list_match"
2474,"(2S,5R,6R)-6-(2,2-dimethyl-5-oxo-4-phenylimidazolidin-1-yl)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid_BTM00836_8.544",32892,"(2S,5R,6R)-6-(2,2-dimethyl-5-oxo-4-phenylimidazolidin-1-yl)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid_BTM00836","C11 H14 N2 O","Full match","Partial match","Full match",0.17,190.11064,191.11791,8.544,2585981.22756807,1,87.6,9.4,"PreferredDDA","[M+H]+1","b106_a",278768.227280291,6.8,"a","b106","29","2023-05","itnantibiotic_cyp_metabolites","Single match found"
2474,"(2S,5R,6R)-6-(2,2-dimethyl-5-oxo-4-phenylimidazolidin-1-yl)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid_BTM00836_8.544",32892,"(2S,5R,6R)-6-(2,2-dimethyl-5-oxo-4-phenylimidazolidin-1-yl)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid_BTM00836","C11 H14 N2 O","Full match","Partial match","Full match",0.17,190.11064,191.11791,8.544,2585981.22756807,1,87.6,9.4,"PreferredDDA","[M+H]+1","b106_b",227398.215329039,5.2,"b","b106","29","2023-05","itnantibiotic_cyp_metabolites","Single match found"
2675,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.78",2119,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","Not the top hit","Invalid mass","Full match",0.52,278.06929,279.07656,11.78,27094011.2922646,6,93.7,9.7,"PreferredDDA","[M+H]+1","b100_a",1166653.70592536,8,"a","b100","1","2023-05","itnantibiotic_cyp_metabolites","Multiple matches found"
2675,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.78",2119,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","Not the top hit","Invalid mass","Full match",0.52,278.06929,279.07656,11.78,27094011.2922646,6,93.7,9.7,"PreferredDDA","[M+H]+1","b100_b",1017123.55234829,8,"b","b100","1","2023-05","itnantibiotic_cyp_metabolites","Multiple matches found"
2675,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.78",2119,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","Not the top hit","Invalid mass","Full match",0.52,278.06929,279.07656,11.78,27094011.2922646,6,93.7,9.7,"PreferredDDA","[M+H]+1","b112_a",1196100.50294637,7.5,"a","b112","1","2023-06","itnantibiotic_cyp_metabolites","Multiple matches found"
2675,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.78",2119,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","Not the top hit","Invalid mass","Full match",0.52,278.06929,279.07656,11.78,27094011.2922646,6,93.7,9.7,"PreferredDDA","[M+H]+1","b112_b",795161.042849764,9.1,"b","b112","1","2023-06","itnantibiotic_cyp_metabolites","Multiple matches found"
2675,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.78",2119,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","Not the top hit","Invalid mass","Full match",0.52,278.06929,279.07656,11.78,27094011.2922646,6,93.7,9.7,"PreferredDDA","[M+H]+1","b130_a",1228346.44414408,7,"a","b130","29","2023-07","itnantibiotic_cyp_metabolites","Multiple matches found"
2675,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.78",2119,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","Not the top hit","Invalid mass","Full match",0.52,278.06929,279.07656,11.78,27094011.2922646,6,93.7,9.7,"PreferredDDA","[M+H]+1","b130_b",1004606.65586876,6.4,"b","b130","29","2023-07","itnantibiotic_cyp_metabolites","Multiple matches found"
2675,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.78",2119,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","Not the top hit","Invalid mass","Full match",0.52,278.06929,279.07656,11.78,27094011.2922646,6,93.7,9.7,"PreferredDDA","[M+H]+1","b142_a",1214774.33978647,8.6,"a","b142","29","2023-03","itnantibiotic_cyp_metabolites","Multiple matches found"
2675,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_11.78",2119,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","Not the top hit","Invalid mass","Full match",0.52,278.06929,279.07656,11.78,27094011.2922646,6,93.7,9.7,"PreferredDDA","[M+H]+1","b142_b",643299.2045374,5.3,"b","b142","29","2023-03","itnantibiotic_cyp_metabolites","Multiple matches found"
