"peak_number","unique_id","compounds_id","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","ms2","reference_ion","sample","group_area","peak_rating","replicate","sample_location","day","month","mass_list_name","mass_list_match"
8169,"15-ethyl-14-hydroxytetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-en-5-one_14.475",42326,"15-ethyl-14-hydroxytetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-en-5-one","C19 H28 O2","Full match","Partial match","Full match",0.37,288.20904,289.21631,14.475,1629080.27740319,4,93.1,66.9,"PreferredDDA","[M+H]+1","b112_a",847292.713623126,5.3,"a","b112","1","2023-06","kps_psychoactive_substances_v2","Multiple matches found"
8169,"15-ethyl-14-hydroxytetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-en-5-one_14.475",42326,"15-ethyl-14-hydroxytetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-en-5-one","C19 H28 O2","Full match","Partial match","Full match",0.37,288.20904,289.21631,14.475,1629080.27740319,4,93.1,66.9,"PreferredDDA","[M+H]+1","b112_b",489233.182935284,7.7,"b","b112","1","2023-06","kps_psychoactive_substances_v2","Multiple matches found"
8169,"15-ethyl-14-hydroxytetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-en-5-one_14.475",42326,"15-ethyl-14-hydroxytetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-en-5-one","C19 H28 O2","Full match","Partial match","Full match",0.37,288.20904,289.21631,14.475,1629080.27740319,4,93.1,66.9,"PreferredDDA","[M+H]+1","b142_a",501560.051459109,8.3,"a","b142","29","2023-03","kps_psychoactive_substances_v2","Multiple matches found"
8169,"15-ethyl-14-hydroxytetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-en-5-one_14.475",42326,"15-ethyl-14-hydroxytetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-en-5-one","C19 H28 O2","Full match","Partial match","Full match",0.37,288.20904,289.21631,14.475,1629080.27740319,4,93.1,66.9,"PreferredDDA","[M+H]+1","b142_b",490108.019071559,7.2,"b","b142","29","2023-03","kps_psychoactive_substances_v2","Multiple matches found"
8169,"15-ethyl-14-hydroxytetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-en-5-one_14.475",42326,"15-ethyl-14-hydroxytetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-en-5-one","C19 H28 O2","Full match","Partial match","Full match",0.37,288.20904,289.21631,14.475,1629080.27740319,4,93.1,66.9,"PreferredDDA","[M+H]+1","b88_a",1198132.5948908,5.9,"a","b88","1","2023-04","kps_psychoactive_substances_v2","Multiple matches found"
8169,"15-ethyl-14-hydroxytetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-en-5-one_14.475",42326,"15-ethyl-14-hydroxytetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-en-5-one","C19 H28 O2","Full match","Partial match","Full match",0.37,288.20904,289.21631,14.475,1629080.27740319,4,93.1,66.9,"PreferredDDA","[M+H]+1","b88_b",719049.595486049,7,"b","b88","1","2023-04","kps_psychoactive_substances_v2","Multiple matches found"
8169,"15-ethyl-14-hydroxytetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-en-5-one_14.475",42326,"15-ethyl-14-hydroxytetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-en-5-one","C19 H28 O2","Full match","Partial match","Full match",0.37,288.20904,289.21631,14.475,1629080.27740319,4,93.1,66.9,"PreferredDDA","[M+H]+1","b94_a",769035.064769454,8,"a","b94","29","2023-04","kps_psychoactive_substances_v2","Multiple matches found"
8169,"15-ethyl-14-hydroxytetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-en-5-one_14.475",42326,"15-ethyl-14-hydroxytetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadec-6-en-5-one","C19 H28 O2","Full match","Partial match","Full match",0.37,288.20904,289.21631,14.475,1629080.27740319,4,93.1,66.9,"PreferredDDA","[M+H]+1","b94_b",381067.366830725,7.7,"b","b94","29","2023-04","kps_psychoactive_substances_v2","Multiple matches found"
8893,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate_19.111",36493,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate","C21 H32 O3","Full match","Invalid mass","Full match",-0.27,332.23505,333.24233,19.111,3706650.8610438,3,91.1,9.6,"PreferredDDA","[M+H]+1","b130_a",1545686.15655555,9.5,"a","b130","29","2023-07","kps_psychoactive_substances_v2","Multiple matches found"
8893,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate_19.111",36493,"2,15-dimethyl-5-oxotetracyclo[8.7.0.0²,?.0¹¹,¹?]heptadecan-14-yl acetate","C21 H32 O3","Full match","Invalid mass","Full match",-0.27,332.23505,333.24233,19.111,3706650.8610438,3,91.1,9.6,"PreferredDDA","[M+H]+1","b130_b",1846885.18555036,5.7,"b","b130","29","2023-07","kps_psychoactive_substances_v2","Multiple matches found"
