"Compounds ID"	"Tags"	"Checked"	"Name"	"Formula"	"Annot. Source: Predicted Compositions"	"Annot. Source: mzCloud Search"	"Annot. Source: MassList Search"	"Annot. DeltaMass [ppm]"	"Calc. MW"	"m/z"	"RT [min]"	"Area (Max.)"	"# mzCloud Results"	"mzCloud Best Match"	"mzCloud Best Match Confidence"	"Mass List Match: Antibiotics_ITN_MSCA_ANSWER_160616_wDTXSIDs"	"Mass List Match: ITNANTIBIOTIC_CYP_Metabolites"	"Mass List Match: KPS_Pharmaceuticals"	"Mass List Match: KPS_Psychoactive_substances_v2"	"MS2"	"Reference Ion"	"Group Area: B4_a"	"Group Area: B4_b"	"Group Area: B10_a"	"Group Area: B10_b"	"Group Area: B16_a"	"Group Area: B16_b"	"Group Area: B22_a"	"Group Area: B22_b"	"Group Area: B28_a"	"Group Area: B28_b"	"Group Area: B34_a"	"Group Area: B34_b"	"Group Area: B40_a"	"Group Area: B40_b"	"Group Area: B46_a"	"Group Area: B46_b"	"Group Area: B52_a"	"Group Area: B52_b"	"Group Area: B58_a"	"Group Area: B58_b"	"Group Area: B64_a"	"Group Area: B64_b"	"Group Area: B70_a"	"Group Area: B70_b"	"Group Area: B76_a"	"Group Area: B76_b"	"Group Area: B82_a"	"Group Area: B82_b"	"Group Area: B88_a"	"Group Area: B88_b"	"Group Area: B94_a"	"Group Area: B94_b"	"Group Area: B100_a"	"Group Area: B100_b"	"Group Area: B106_a"	"Group Area: B106_b"	"Group Area: B112_a"	"Group Area: B112_b"	"Group Area: B118_a"	"Group Area: B118_b"	"Group Area: B124_a"	"Group Area: B124_b"	"Group Area: B130_a"	"Group Area: B130_b"	"Group Area: B136_a"	"Group Area: B136_b"	"Group Area: B142_a"	"Group Area: B142_b"	"Group Area: C1_a"	"Group Area: C1_b"	"Group Area: C2_a"	"Group Area: C2_b"	"Group Area: C3_a"	"Group Area: C3_b"	"Peak Rating: B0_blank_a.raw (F1)"	"Peak Rating: B0_blank_b.raw (F2)"	"Peak Rating: B0_blank_c.raw (F3)"	"Peak Rating: B0_blank_d.raw (F4)"	"Peak Rating: B0_blank_e.raw (F5)"	"Peak Rating: B0_blank_f.raw (F6)"	"Peak Rating: B0_blank_g.raw (F7)"	"Peak Rating: B0_blank_h.raw (F8)"	"Peak Rating: B0_blank_i.raw (F9)"	"Peak Rating: B0_blank_j.raw (F10)"	"Peak Rating: B4_a.raw (F11)"	"Peak Rating: B4_b.raw (F12)"	"Peak Rating: B10_a.raw (F13)"	"Peak Rating: B10_b.raw (F14)"	"Peak Rating: B16_a.raw (F15)"	"Peak Rating: B16_b.raw (F16)"	"Peak Rating: B22_a.raw (F17)"	"Peak Rating: B22_b.raw (F18)"	"Peak Rating: B28_a.raw (F19)"	"Peak Rating: B28_b.raw (F20)"	"Peak Rating: B34_a.raw (F21)"	"Peak Rating: B34_b.raw (F22)"	"Peak Rating: B40_a.raw (F23)"	"Peak Rating: B40_b.raw (F24)"	"Peak Rating: B46_a.raw (F25)"	"Peak Rating: B46_b.raw (F26)"	"Peak Rating: B52_a.raw (F27)"	"Peak Rating: B52_b.raw (F28)"	"Peak Rating: B58_a.raw (F29)"	"Peak Rating: B58_b.raw (F30)"	"Peak Rating: B64_a.raw (F31)"	"Peak Rating: B64_b.raw (F32)"	"Peak Rating: B70_a.raw (F33)"	"Peak Rating: B70_b.raw (F34)"	"Peak Rating: B76_a.raw (F35)"	"Peak Rating: B76_b.raw (F36)"	"Peak Rating: B82_a.raw (F37)"	"Peak Rating: B82_b.raw (F38)"	"Peak Rating: B88_a.raw (F39)"	"Peak Rating: B88_b.raw (F40)"	"Peak Rating: B94_a.raw (F41)"	"Peak Rating: B94_b.raw (F42)"	"Peak Rating: B100_a.raw (F43)"	"Peak Rating: B100_b.raw (F44)"	"Peak Rating: B106_a.raw (F45)"	"Peak Rating: B106_b.raw (F46)"	"Peak Rating: B112_a.raw (F47)"	"Peak Rating: B112_b.raw (F48)"	"Peak Rating: B118_a.raw (F49)"	"Peak Rating: B118_b.raw (F50)"	"Peak Rating: B124_a.raw (F51)"	"Peak Rating: B124_b.raw (F52)"	"Peak Rating: B130_a.raw (F53)"	"Peak Rating: B130_b.raw (F54)"	"Peak Rating: B136_a.raw (F55)"	"Peak Rating: B136_b.raw (F56)"	"Peak Rating: B142_a.raw (F57)"	"Peak Rating: B142_b.raw (F58)"	"Peak Rating: C1_a.raw (F59)"	"Peak Rating: C1_b.raw (F60)"	"Peak Rating: C2_a.raw (F61)"	"Peak Rating: C2_b.raw (F62)"	"Peak Rating: C3_a.raw (F63)"	"Peak Rating: C3_b.raw (F64)"	"Peak Rating: QC_a.raw (F65)"	"Peak Rating: QC_b.raw (F66)"	"Peak Rating: QC_c.raw (F67)"	"Peak Rating: QC_d.raw (F68)"	"Peak Rating: QC_e.raw (F69)"	"Peak Rating: QC_f.raw (F70)"	"Peak Rating: QC_g.raw (F71)"	"Peak Rating: QC_h.raw (F72)"	"Peak Rating: QC_i.raw (F73)"	"Peak Rating: QC_j.raw (F74)"	"Peak Rating: QC_k.raw (F75)"	"Peak Rating: QC_l.raw (F76)"	"Peak Rating: QC_m.raw (F77)"	"Peak Rating: QC_n.raw (F78)"	"Peak Rating: QC_o.raw (F79)"	"Peak Rating: QC_p.raw (F80)"	"Peak Rating: QC_q.raw (F81)"
"3391"	""	"False"	"Carbenicillin"	"C17 H18 N2 O6 S"	"No match"	"Invalid mass"	"Full match"	"1.78"	"378.08923"	"379.09650"	"10.449"	"16049054.2909062"	"4"	"79.8"	"49.9"	"Single match found"	"No matches found"	"Multiple matches found"	"No matches found"	"PreferredDDA"	"[M+H]+1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"13618384.3027272"	"11756457.7921555"	"16049054.2909062"	"13899533.2549946"	"15557473.7586853"	"14910447.6108147"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"8.9"	"7.8"	"9.5"	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"9.5"	"8.9"	"8.9"	"8.9"	"9.5"	"9.5"	"9.5"	"9.5"	"8.9"	"9.5"	"9.5"	"9.5"	"8.9"	"9.5"	"9.5"
"147185"	""	"False"	"Ritipenem"	"C10 H12 N2 O6 S"	"Not the top hit"	"Invalid mass"	"Full match"	"2.85"	"288.04243"	"289.04970"	"12.118"	"282276.46617327"	"1"	"76.0"	"47.7"	"Single match found"	"Multiple matches found"	"Single match found"	"No matches found"	"PreferredDDA"	"[M+H]+1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"167679.189592075"	"214748.477395871"	"231021.145224479"	"240717.224470197"	"277712.862792557"	"282276.46617327"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"7.9"	"7.4"	"7.9"	"7.9"	"7.4"	"5.2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64007"	""	"False"	"Carpetimycin A"	"C14 H18 N2 O6 S"	"No match"	"Invalid mass"	"Full match"	"2.24"	"342.08932"	"343.09660"	"13.004"	"1127555.0824372"	"4"	"83.2"	"9.2"	"Single match found"	"No matches found"	"Single match found"	"No matches found"	"PreferredDDA"	"[M+H]+1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"657336.51165518"	"625520.529634714"	""	"771388.126898011"	"1127555.0824372"	"906836.955114779"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"8.6"	"8.0"	""	"9.1"	"8.6"	"9.1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"7.1"
"4096"	""	"False"	"Fumagillin"	"C26 H34 O7"	"No match"	"Invalid mass"	"Full match"	"0.24"	"458.23056"	"459.23784"	"10.751"	"10906746.7549414"	"2"	"74.0"	"8.7"	"Single match found"	"No matches found"	"Multiple matches found"	"No matches found"	"PreferredDDA"	"[M+H]+1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"9433463.69894257"	"10906746.7549414"	"10104572.6577251"	"6809869.83271393"	"10280561.1290502"	"6482853.75813227"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"7.8"	"9.5"	"8.9"	"8.9"	"8.4"	"8.9"	"6.7"	"5.7"	"7.8"	"9.5"	"8.9"	"7.8"	"7.8"	"7.3"	"5.7"	"8.9"	"8.9"	"8.9"	"6.7"	"6.7"	"8.6"	"8.6"	"7.5"
"105224"	""	"False"	"Clinafloxacin"	"C17 H17 Cl F N3 O3"	"No match"	"Not the top hit"	"Full match"	"-1.27"	"365.09378"	"366.10106"	"10.147"	"512557.92380477"	"2"	"79.2"	"9.0"	"Single match found"	"No matches found"	"Single match found"	"No matches found"	"PreferredDDA"	"[M+H]+1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"512557.92380477"	"430863.152102441"	"481930.892968262"	"373300.581428605"	"396744.104356775"	"442085.802395059"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"8.3"	"8.3"	"8.8"	"8.3"	"8.3"	"8.3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1323"	""	"False"	"Carbenicillin"	"C17 H18 N2 O6 S"	"No match"	"No results"	"Full match"	"1.89"	"378.08927"	"379.09655"	"9.763"	"45168539.0526736"	"0"	""	""	"Single match found"	"No matches found"	"Multiple matches found"	"No matches found"	"PreferredDDA"	"[M+H]+1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"45168539.0526736"	"40648243.2174631"	"42586008.5538374"	"37239896.6986469"	"42109070.6327979"	"39211487.0157138"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"8.9"	"8.9"	"8.4"	"8.9"	"8.4"	"7.8"	"8.9"	"8.9"	"8.9"	"8.9"	"8.4"	"9.5"	"9.5"	"8.4"	"7.8"	"9.5"	"7.8"	"7.8"	"8.9"	"8.9"	"7.8"	"8.9"	"8.9"
"1334"	""	"False"	"8-Hydroxyquinoline"	"C9 H7 N O"	"Full match"	"Partial match"	"Full match"	"0.59"	"145.05285"	"146.06011"	"9.447"	"42330108.6033107"	"2"	"90.7"	"58.5"	"Single match found"	"No matches found"	"Multiple matches found"	"No matches found"	"PreferredDDA"	"[M+H]+1"	"17782076.4712297"	"8169729.1454003"	"25168070.0326742"	"8570376.94952284"	"31769841.2158846"	"9079994.16577795"	"17923780.6544565"	"3371491.67692459"	"26832069.9023794"	"12606087.0998752"	"19781921.2741532"	"7622050.70795276"	"39813872.3471238"	"12445003.9769508"	""	"4259687.06646752"	""	"8138656.10701399"	"6878378.06909912"	"2978104.15006209"	"21741149.0826908"	"8765428.90990604"	"11116470.188802"	"3672994.79659027"	""	"6192981.07210611"	"5600517.06766587"	"2819167.18383668"	"5207517.32334302"	"2158109.61777117"	"10585618.2695686"	"3834056.27858852"	"33943904.1037872"	"27615299.5541208"	""	"3031885.09370893"	"12096458.1955582"	"6234859.08460769"	"5262010.41216819"	"2262044.75286539"	""	"7395851.13058128"	"4378315.168914"	"2611214.15784798"	""	"3943028.64729997"	"4976655.04302852"	"2420500.89602873"	"30824827.3010298"	"27906328.855351"	"37657203.6175922"	"27069251.2190725"	"42137155.2245803"	"24435138.1342228"	""	""	""	""	""	""	""	""	""	""	"8.4"	"8.4"	"8.4"	"8.4"	"8.4"	"8.4"	"8.4"	"8.4"	"8.4"	"9.5"	"8.4"	"8.4"	"8.4"	"8.4"	""	"8.4"	""	"8.4"	"8.4"	"8.4"	"8.4"	"8.4"	"8.4"	"8.4"	""	"8.4"	"7.8"	"7.8"	"8.4"	"7.8"	"8.4"	"8.4"	"8.4"	"9.5"	""	"8.4"	"8.4"	"9.5"	"8.4"	"7.8"	""	"8.4"	"8.4"	"8.4"	""	"8.4"	"8.4"	"8.4"	"7.3"	"5.7"	"6.7"	"5.7"	"6.7"	"6.7"	"7.8"	"8.9"	"9.5"	"7.8"	"7.8"	"8.4"	"8.4"	"8.4"	"9.5"	"8.4"	"8.4"	"9.5"	"9.5"	"7.8"	"8.9"	"7.8"	"8.9"
"30903"	""	"False"	"Tuberin"	"C10 H11 N O2"	"Full match"	"Invalid mass"	"Full match"	"0.04"	"177.07899"	"195.11281"	"8.018"	"1769844.78682707"	"2"	"91.0"	"59.4"	"Single match found"	"Single match found"	"Single match found"	"Single match found"	"PreferredDDA"	"[M+NH4]+1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1769844.78682707"	"1533526.1784434"	"1485689.5332324"	""	"1456443.27110798"	"1092411.70885206"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"8.4"	"8.9"	"8.0"	""	"7.5"	"7.5"	""	"8.3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137407"	""	"False"	"Methicillin"	"C17 H20 N2 O6 S"	"No match"	"Invalid mass"	"Full match"	"1.91"	"380.10493"	"381.11221"	"10.444"	"364532.181205042"	"4"	"84.1"	"9.2"	"Single match found"	"Multiple matches found"	"Single match found"	"No matches found"	"PreferredDDA"	"[M+H]+1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"364532.181205042"	"300244.773216503"	"298750.260160548"	"319914.646401185"	"282324.462229351"	"220183.078526266"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"7.7"	"8.3"	"8.3"	"8.3"	"7.9"	"7.4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198680"	""	"False"	"Carbadox"	"C11 H10 N4 O4"	"Not the top hit"	"Not the top hit"	"Full match"	"-3.79"	"262.06921"	"263.07649"	"11.333"	"179675.561513568"	"12"	"96.7"	"9.8"	"Single match found"	"No matches found"	"Single match found"	"No matches found"	"PreferredDDA"	"[M+H]+1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"170884.724041464"	"151500.360731036"	"179675.561513568"	"118311.897757864"	"158700.521914541"	"91205.8625674811"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"7.9"	"7.4"	"7.4"	"7.1"	"7.4"	"7.1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
