"Input Files Workflow ID"	"Input Files Workflow Level"	"Input Files "	"Study File ID"	"File Name"	"Creation Date"	"RT Range [min]"	"Instrument Name"	"Software Revision"	"Ref. File ID"	"Alignment Score"	"Sample Type"	"Day"	"Month"	"Max. Mass [Da]"
"37"	"0"	"408"	"F1"	"K:\Chemistry\Fusion\Win10 Data\Data_2024_Q1\Charlie\Data\B0_blank_a.raw"	"12/02/2024 14:55:15"	"0.00 - 28.01"	"Orbitrap Fusion"	"4.0.4091"	"F65"	"0.536"	"Blank"	""	"n/a"	"2000.00000"
"37"	"0"	"409"	"F2"	"K:\Chemistry\Fusion\Win10 Data\Data_2024_Q1\Charlie\Data\B0_blank_b.raw"	"12/02/2024 15:24:17"	"0.00 - 28.00"	"Orbitrap Fusion"	"4.0.4091"	"F65"	"0.527"	"Blank"	""	"n/a"	"2000.00000"
"37"	"0"	"410"	"F3"	"K:\Chemistry\Fusion\Win10 Data\Data_2024_Q1\Charlie\Data\B0_blank_c.raw"	"12/02/2024 20:14:24"	"0.00 - 28.01"	"Orbitrap Fusion"	"4.0.4091"	"F65"	"0.501"	"Blank"	""	"n/a"	"2000.00000"
"37"	"0"	"411"	"F4"	"K:\Chemistry\Fusion\Win10 Data\Data_2024_Q1\Charlie\Data\B0_blank_d.raw"	"13/02/2024 01:04:31"	"0.00 - 28.00"	"Orbitrap Fusion"	"4.0.4091"	"F65"	"0.495"	"Blank"	""	"n/a"	"2000.00000"
"37"	"0"	"412"	"F5"	"K:\Chemistry\Fusion\Win10 Data\Data_2024_Q1\Charlie\Data\B0_blank_e.raw"	"13/02/2024 05:54:48"	"0.00 - 28.01"	"Orbitrap Fusion"	"4.0.4091"	"F65"	"0.488"	"Blank"	""	"n/a"	"2000.00000"
"37"	"0"	"413"	"F6"	"K:\Chemistry\Fusion\Win10 Data\Data_2024_Q1\Charlie\Data\B0_blank_f.raw"	"13/02/2024 10:45:00"	"0.00 - 28.00"	"Orbitrap Fusion"	"4.0.4091"	"F65"	"0.491"	"Blank"	""	"n/a"	"2000.00000"
"37"	"0"	"414"	"F7"	"K:\Chemistry\Fusion\Win10 Data\Data_2024_Q1\Charlie\Data\B0_blank_g.raw"	"13/02/2024 15:35:09"	"0.00 - 28.01"	"Orbitrap Fusion"	"4.0.4091"	"F65"	"0.485"	"Blank"	""	"n/a"	"2000.00000"
"37"	"0"	"415"	"F8"	"K:\Chemistry\Fusion\Win10 Data\Data_2024_Q1\Charlie\Data\B0_blank_h.raw"	"13/02/2024 20:25:18"	"0.00 - 28.00"	"Orbitrap Fusion"	"4.0.4091"	"F65"	"0.479"	"Blank"	""	"n/a"	"2000.00000"
"37"	"0"	"416"	"F9"	"K:\Chemistry\Fusion\Win10 Data\Data_2024_Q1\Charlie\Data\B0_blank_i.raw"	"14/02/2024 00:17:26"	"0.00 - 28.00"	"Orbitrap Fusion"	"4.0.4091"	"F65"	"0.475"	"Blank"	""	"n/a"	"2000.00000"
"37"	"0"	"417"	"F10"	"K:\Chemistry\Fusion\Win10 Data\Data_2024_Q1\Charlie\Data\B0_blank_j.raw"	"14/02/2024 00:46:26"	"0.00 - 28.00"	"Orbitrap Fusion"	"4.0.4091"	"F65"	"0.473"	"Blank"	""	"n/a"	"2000.00000"
"37"	"0"	"418"	"F11"	"K:\Chemistry\Fusion\Win10 Data\Data_2024_Q1\Charlie\Data\B4_a.raw"	"12/02/2024 15:53:17"	"0.00 - 28.01"	"Orbitrap Fusion"	"4.0.4091"	"F65"	"0.708"	"Sample"	"1"	"22-09"	"2000.00000"
"37"	"0"	"419"	"F12"	"K:\Chemistry\Fusion\Win10 Data\Data_2024_Q1\Charlie\Data\B4_b.raw"	"13/02/2024 07:50:52"	"0.00 - 28.00"	"Orbitrap Fusion"	"4.0.4091"	"F65"	"0.649"	"Sample"	"1"	"22-09"	"2000.00000"
"37"	"0"	"420"	"F13"	"K:\Chemistry\Fusion\Win10 Data\Data_2024_Q1\Charlie\Data\B10_a.raw"	"12/02/2024 16:22:17"	"0.00 - 28.00"	"Orbitrap Fusion"	"4.0.4091"	"F65"	"0.690"	"Sample"	"28"	"22-09"	"2000.00000"
"37"	"0"	"421"	"F14"	"K:\Chemistry\Fusion\Win10 Data\Data_2024_Q1\Charlie\Data\B10_b.raw"	"13/02/2024 12:12:03"	"0.00 - 28.00"	"Orbitrap Fusion"	"4.0.4091"	"F65"	"0.641"	"Sample"	"28"	"22-09"	"2000.00000"
"37"	"0"	"422"	"F15"	"K:\Chemistry\Fusion\Win10 Data\Data_2024_Q1\Charlie\Data\B16_a.raw"	"12/02/2024 16:51:18"	"0.00 - 28.01"	"Orbitrap Fusion"	"4.0.4091"	"F65"	"0.710"	"Sample"	"1"	"22-10"	"2000.00000"
